Reference,Eddie,,Kurt,,Julia,,Dan,
Start,6.03,113.00,0.27,100.00,6.10,93.00,6.00,90.00
T2a,15.47,44.00,10.20,50.00,17.80,44.00,16.80,45.00
T2b,19.10,47.00,13.80,50.00,21.17,45.00,20.70,47.00
T3,28.10,56.00,22.60,57.00,32.07,52.00,30.53,56.00
T4,36.17,70.00,30.43,75.00,41.23,64.00,39.17,68.00
T5,47.90,61.00,42.53,66.00,54.67,56.00,52.30,63.00
T6,59.13,68.00,53.97,75.00,67.90,58.00,64.27,72.00
T7,67.53,112.00,62.40,103.00,78.00,91.00,73.37,97.00
T8a,73.10,44.00,67.37,43.00,84.40,34.00,79.10,38.00
T8b,75.23,48.00,69.43,50.00,86.80,43.00,81.33,45.00
T9,83.00,71.00,77.13,76.00,96.40,61.00,89.93,66.00
T10,89.93,62.00,83.97,65.00,104.47,59.00,97.90,61.00
T11,98.77,37.00,92.63,42.00,115.77,31.00,107.23,38.00
Finish,108.47,114.00,102.63,100.00,128.77,93.00,118.93,89.00
